Assigned_cluster,TI,DI,UT,AB
conditions,IMPACT OF GREEN MANURE ON CROP YIELD OF CEREALS IN CONDITIONS OF IRRIGATION OF THE TERSKO-SULAK SUBPROVINCES,10.18470/1992-1098-2018-2-144-155,WOS000459109700013,"AIM. THE AIM OF THE RESEARCH WAS TO IDENTIFY THE EFFECT OF TYPES OF FERTILIZER ON INCREASING SOIL FERTILITY AND CORN YIELD OF GRAIN AND SORGHUM IN CONDITIONS OF IRRIGATION OF THE TERSKO-SULAK SUBPROVINCE. METHODS. CARRYING OUT SOME FIELD EXPERIMENTS: CONDUCTING OBSERVATIONS AND LABORATORY TESTS, SELECTION OF SOIL AND PLANT SAMPLES WAS CARRIED OUT ACCORDING TO GENERALLY ACCEPTED METHODS: STATISTICAL PROCESSING OF YIELD DATA WAS CARRIED OUT BY THE METHOD OF VARIANCE ANALYSIS BASED ON KIROV FEDERAL STATE UNITARY ENTERPRISE AND FSBSI DAGESTAN AGRICULTURAL RESEARCH INSTITUTE NAMED AFTER F.G. KISRIEV. RESULTS. STUDIES SHOWED THAT IN THE POST-HARVEST PERIOD AFTER HARVESTING WINTER WHEAT, IT IS BETTER TO CULTIVATE GREEN MANURE WITH THE PRESENCE OF LEGUMES. A VALUABLE BIOLOGICAL FEATURE OF THEM IS THE ABILITY TO ABSORB ATMOSPHERIC NITROGEN. THE POWERFUL ROOT SYSTEM OF THE SEEDING PEA IMPROVES THE PHYSICAL PROPERTIES OF THE SOIL, AS WELL AS MICROBIOLOGICAL ACTIVITY. THE MOST FAVORABLE CONDITIONS ARE CREATED FOR THE GROWTH AND DEVELOPMENT OF MAIZE AND SORGHUM, AFTER PLOWING OF FERTILIZERS IN THE STUBBLE PERIOD IN THE CONDITIONS OF IRRIGATION OF THE TERSKO-SULAK SUBPROVINCE, BY APPLYING MINERAL FERTILIZERS AT A DOSE OF N-150 P-75 K-75, SEEDING PEAS, MANURE (30 T / HA), IN THESE CASES, ON AVERAGE, OVER TWO YEARS, THE HIGHEST YIELD OF MAIZE WAS 5.6-5.7-5.5 T / HA AND GRAIN SORGHUM, RESPECTIVELY, 4.7-4.8-4.5 T / HA. CONCLUSION. FOR THE FIRST TIME, IN CONDITIONS OF IRRIGATION OF THE TERSKO-SULAK SUBPROVINCE, WERE OBTAINED THE RESULTS ON THE EFFECTIVENESS OF DIFFERENT TYPES OF FERTILIZERS INTRODUCED INTO THE SOIL."
dagestan,THE ANAPA AMPELOGRAPHIC COLLECTION IS THE LARGEST CENTER OF VINE GENE POOL ACCUMULATION AND RESEARCH IN RUSSIA,10.18699/VJ18.331,WOS000432214800007,"NOWADAYS THERE IS MUCH TENSION IN THE RUSSIAN MODERN VINE GROWING INDUSTRY AROUND THE ISSUE OF ENHANCING THE RANGE OF GRAPE VARIETIES, WHICH IS AIMED AT PRODUCTION OF HIGHLY ADAPTIVE GRAPE PLANTS AND SUSTAINABLE PRODUCTION OF COMPETITIVE GRAPE VARIETIES IN THE UNSTABLE STRESSING WEATHER CONDITIONS OF THE MODERATE CONTINENTAL CLIMATE IN THE SOUTH OF RUSSIA. IN THIS VIEW, WE BELIEVE IT IMPORTANT TO CARRY OUT RESEARCH INTO THE ORIGIN, GENERATION AND PRESERVATION OF GENETIC RESOURCES SO THAT THEY CAN BE INVOLVED IN THE SELECTION PROCESS AND REACH MOST IMPORTANT OBJECTIVES OF THE NATIONAL ECONOMY. THE ROLE OF A VARIETY AND AMPELOGRAPHIC COLLECTIONS BECOMES MORE IMPORTANT. THE ANAPA AMPELOGRAPHIC COLLECTION (HTTP://AZOSVIV.INFO/CATEGORY/ OSNOVNYE\_RAZDELY/ANAPSKAYA\_AMPELOGRAFICHESKAYA\_KOLLEKCIYA) IS RUSSIA'S LARGEST GENE POOL DEPOSITORY OF GRAPE VARIETIES BROUGHT FROM VARIOUS COUNTRIES OF EUROPE, ASIA AND AMERICA, AND RUSSIA'S REGIONS AS WELL. IT CONTAINS 4921 GRAPE VARIETIES, INCLUDING VITIS VINIFERA L. (2975), V. AMURENSIS RUPR. (40), V. LABRUSCA L. (50), THE INTERSPECIES VARIETIES V. VINIFERA L. X V. AMURENSIS RUPR. (210), V. VINIFERA L. X V. LABRUSCA L. (168), BLENDED INTERSPECIES HYBRIDS V. VINIFERA LX HYBRIDS SV (220), V. VINIFERA L. X V. AMURENSIS RUPR. X HYBRIDS SV (70), AND OTHER SAMPLES. WE CARRY OUT EXTENSIVE RESEARCH INTO COLLECTION VARIETIES FOR THEIR PRODUCTION AND SELECTION. WE SELECT VARIETIES AND FORMS SHOWING GOOD AGRONOMIC CHARACTERS IN PRODUCTIVITY, QUALITY OF GRAPES AND WINE PRODUCTS, WINTER HARDINESS, DROUGHT RESISTANCE, AND RESISTANCE TO PESTS. WE HAVE IDENTIFIED, PRESERVED AND NOW USE IN SELECTION, AS SOURCES OF GOOD AGRONOMIC CHARACTERS OF RESISTANCE TO LOW TEMPERATURES IN WINTER, SUCH VARIETIES AS RIESLING OF THE RHINE, RKATSITELI, ALIGOTE, RIESLING OF ITALY, TRAMINER PINK, PINOT NOIR, RARA NEAGRA, CABERNET SAUVIGNON, COARNA NEAGRA, PINOT GRIS, GAMAY FREAUX, SAPERAVI, MUSCAT OTTONEL, MADELEINE ANGEVINE, CABERNET FRANC, KHIKHVI, PEARL OF CSABA, CHARDONNAY, KRASNOSTOP OF ANAPA, DOSTOINIY, KRASNOSTOP AZOS, ETC.THE COLLECTION HAS GIVEN BIRTH TO TWENTY SEVEN VARIETIES AND ELITE FORMS, OF WHICH TWELVE VARIETIES HAVE BEEN SENT TO THE STATE COMMITTEE FOR THE TESTING OF NEW VARIETIES OF AGRICULTURAL PLANTS (PLUTO, MUZHESTVENNIY (COURAGEOUS), GORDIY (PROUD), MARAN, VARVAROVSKY, HARMONY, PROGRESS, GORNIY (MOUNTANEOUS), SATURN, DIMITRY, VLADIMIR, KURCHANSKY). WE CARRY OUT A MOLECULAR GENETIC TESTING OF THE ACCUMULATED GENE POOL AND DNA-CLASSIFICATION OF VARIETIES. WE HAVE STUDIED THE MICROSATELLITE POLYMORPHISM IN THE GENOTYPES OF AUTOCHTHONOUS GRAPE VARIETIES OF THE DON RIVER AND THE REPUBLIC OF DAGESTAN. WE ARE PERFORMING THE DNA-CLASSIFICATION OF VARIETIES SELECTED BY THE NORTH CAUCASIAN REGIONAL RESEARCH INSTITUTE OF HORTICULTURE AND VITICULTURE (KRASNODAR), WHICH IS ADVANTAGEOUS FOR THE IDENTIFICATION OF PURE VARIETIES IN PLANTING MATERIAL AND VINEYARDS AND SPECIFYING OF THE PARENT FORMS OF GRAPE VARIETIES, AS WELL AS WHEN ANY DISPUTES ARISE AS TO THE VARIETY AUTHORSHIP."
dagestan,ESTIMATION OF MICROALGAE RESOURCE POTENTIAL FOR BIO-OIL PRODUCTION AND SUSTAINABLE RURAL DEVELOPMENT IN THE CLIMATIC CONDITIONS OF RUSSIA (THE REPUBLIC OF DAGESTAN),10.1051/matecconf/201817809011,WOS000570197900138,"THE WORK IS DEVOTED TO THE ESTIMATION OF MICROALGAE RESOURCE POTENTIAL FOR BIO-OIL PRODUCTION. WE PROPOSE A METHOD OF CLIMATE AND INFRASTRUCTURAL FACTORS SPATIAL ANALYSIS FOR ESTIMATIONS OF RESOURCE AND THE POSSIBILITY OF BIO-OIL PRODUCTION FACILITIES CONSTRUCTION IN THE STUDY REGION. THE RESOURCE POTENTIAL DEPENDS ON THE AREA OF THE TERRITORY THAT CAN BE USED TO PRODUCE BIOMASS AS FEEDSTOCK FOR BIOFUEL PRODUCTION, AND EQUAL TO THE AMOUNT OF MICROALGAE BIOMASS THAT CAN BE OBTAINED ON THIS TERRITORY. FOR THE CASE STUDY WE SELECTED THE TERRITORY OF THE REPUBLIC OF DAGESTAN (RUSSIA) AND MICROALGAE ARTHROSPIRA PLATENSIS AND DUNALIELLA SALINA. AS AN INFRASTRUCTURAL FACTORS, WHICH MAY REDUCE THE COST OF BIO-OIL PRODUCTION WE CONSIDERED THE FOLLOWING SOURCES OF CHEAP MATERIAL RESOURCES AND ENERGY: SEAWATER (AS A SOURCE OF MACRO- AND MICROELEMENTS), GEOTHERMAL WATER (AS LOW-TEMPERATURE HEAT SOURCE), CO2 EMISSIONS OF CEMENT PLANTS AND COMBINED HEAT AND POWER PLANTS (AS CARBON SOURCE AND TO REDUCE CO2 EMISSION). THE ANALYSES OF THESE FACTORS USING THE TECHNOLOGY OF GEOINFORMATION SYSTEMS ALLOWED TO FIND THE MOST SUITABLE TERRITORIES FOR MICROALGAE PLANT ALLOCATION AND THEREFORE ESTIMATE RESOURCE POTENTIAL FOR BIO-OIL PRODUCTION WITH MAXIMUM PROFIT."
dagestan,MONITORING DISEASES OF HONEY BEES (<I>APIS MELLIFERA</I>) IN RUSSIA,NA,WOS000456291200016,"RUSSIA HAS FAVORABLE NATURAL AND CLIMATIC CONDITIONS AND FORAGE BASE FOR THE BEEKEEPING DEVELOPMENT. ACCORDING TO RUSSIAN FEDERAL STATE STATISTICS SERVICE, IN 2016 THE TOTAL NUMBER OF BEE COLONIES WAS 3.3 MILLION, OF WHICH 3.1 MILLION OR 94\% OF THE EXISTING BEE COLONIES WERE IN PRIVATE HOUSEHOLDS WITH 78 REGIONS OUT OF 85 SUBJECTS OF THE RUSSIAN FEDERATION BEING ENGAGED IN BEEKEEPING. HOWEVER, CLIMATE CHANGE, VARIOUS BIOTIC AND ANTHROPOGENIC FACTORS HAVE A NEGATIVE IMPACT ON THE STATE OF THE INDUSTRY, MANIFESTED, FIRST OF ALL, IN REDUCING THE PRODUCTIVITY OF BEE COLONIES, THEIR QUALITY, ABILITY TO RESIST DISEASES. ANALYSIS OF THE RESULTS OF RESEARCH ON BEE COLONIES FROM 18 REGIONS OF THE COUNTRY (ARKHANGELSK, BELGOROD, VORONEZH, KIROV, LENINGRAD, MOSCOW, ORENBURG, PENZA, TOMSK, TULA, AND TYUMEN REGIONS; ALTAI, KRASNODAR, PERM AND STAVROPOL KRAIS; REPUBLICS OF MARI EL, TATARSTAN, AND UDMURTIA) SHOWS THAT THE SURVEYED APIARIES ARE AFFECTED BY ACARIASES, BACTERIOSES, VIROSES, MYCOSES AND MICROSPORIDIOSES OF BEES. THE STUDY OF BEES AND BROOD SAMPLES SHOWED VIRUSES SUCH AS DEFORMED WING VIRUS (DWV), ACUTE BEE PARALYSIS VIRUS (ABPV), CHRONIC BEE PARALYSIS VIRUS (CBPV), SACBROOD VIRUS (SBV), BLACK QUEEN CELL VIRUS (BQCV), KASHMIR VIRUS (KBV), ISRAELI ACUTE PARALYSIS VIRUS (IAPV); BACTERIA: PAENIBACILLUS LARVAE LARVAE, MELISSOCOCCUS PLUTON, ESCHERICHIA COLI; ASCOSPHAERA APIS FUNGUS; MITES VARROA DESTRUCTOR, ACARAPIS EXTERNUS, ACARAPIS WOODI RENNIE; MICROSPORIDIA NOSEMA APIS, NOSEMA CERANAE. OF THE MOST COMMON MIXED INFECTION-INVASIONS OF BEES, THE FOLLOWING CAN BE IDENTIFIED: VARROOSIS-NOSEMOSIS, VARROOSIS-ASCOSPHAEROSIS, VARROOSIS-NOSEMOSIS-ASCOSPHAEROSIS, VARROOSIS-VIROSIS (DEFORMED WING VIRUS), VARROOSIS-VIROSIS (SACBROOD), VARROOSIS-AMERICAN FOULBROOD AND EUROPEAN FOULBROOD. STUDIES CONDUCTED IN RUSSIA RECENT YEARS ARE THE BASIS FOR THE DEVELOPMENT OF A MONITORING SYSTEM FOR BEE DISEASES IN THE COUNTRY. TO OBTAIN OBJECTIVE DATA, JOINT EFFORTS OF SCIENTISTS, THE STATE VETERINARY SERVICE AND OWNERS OF APIARIES ARE NEEDED. FIRST OF ALL, SUCH KIND OF EVENTS SHOULD BE HELD IN REGIONS WITH A LARGE NUMBER OF BEE COLONIES (ALTAI, KRASNODAR AND PRIMORYE KRAIS; REPUBLICS OF BASHKORTOSTAN, DAGESTAN, TATARSTAN, UDMURTIA; BELGOROD REGION.) SPECIAL ATTENTION SHOULD BE PAID TO BREEDING FARMS."
dagestan,"ANALYSIS OF SELF-RATED HEALTH BY RESIDENTS OF THE UNTSUKUL DISTRICT, REPUBLIC OF DAGESTAN (ON RESULTS OF THE QUESTIONNAIRE SURVEY)",10.18470/1992-1098-2018-3-107-119,WOS000459110100009,"AIM. TO CARRY OUT A COMPARATIVE ANALYSIS OF SELF-RATED HEALTH, MEDICAL ACTIVITY, AND SATISFACTION WITH THE QUALITY OF MEDICAL CARE IN PUBLIC HEALTH INSTITUTIONS BY RESIDENTS OF RURAL SETTLEMENTS OF THE UNTSUKUL DISTRICT, REPUBLIC OF DAGESTAN. METHODS. THE STUDY WAS CONDUCTED BY THE METHOD OF QUESTIONING 2643 RESPONDENTS, AMONG THEM 1453 WOMEN AND 1181 MEN. RESULTS. ACCORDING TO THE RESULTS OF THE SURVEY, THE MAJORITY OF THE INTERVIEWED RESIDENTS OF UNTSUKUL DISTRICT (68.2\%) ARE SATISFIED WITH THEIR HEALTH. MEDICAL ACTIVITY OF THE POPULATION AT THE TIME OF THE STUDY WAS 60.6\%. AS TO RESPONDENTS WHO APPLIED TO THE MEDICAL INSTITUTIONS OF THE UNTSUKUL DISTRICT DURING THIS PERIOD, 13.5\% ARE NOT SATISFIED WITH THE QUALITY OF MEDICAL CARE IN PUBLIC HEALTH INSTITUTIONS, 23.5\% ARE FULLY SATISFIED, 30\% ARE NOT FULLY SATISFIED. CONCLUSION. A SOCIAL SURVEY IN THE FORM OF A QUESTIONNAIRE IS ONE OF THE MOST EFFECTIVE METHODS OF OBTAINING INFORMATION ABOUT THE SELF-RATED HEALTH OF THE POPULATION. TIMELY ANALYSIS OF MEDICAL ACTIVITY OF THE POPULATION, ITS SATISFACTION WITH THE QUALITY OF MEDICAL CARE WILL IMPROVE THE EFFICIENCY OF THE HEALTH SYSTEM."
dagestan,TECHNOLOGICAL APPLICATION OF MICROALGAE IN POWER INDUSTRY AND ENVIRONMENTAL PROTECTION,10.18470/1992-1098-2018-1-166-183,WOS000459109200013,"AIM. THE AIM OF THE STUDY IS TO SHOW THE POSSIBILITY AND EFFICIENCY OF LARGE-SCALE INDUSTRIAL PRODUCTION OF MICROALGAE IN THE REPUBLIC OF DAGESTAN FOR THE DEVELOPMENT OF AGRICULTURE (FEED FOR ANIMALS AND POULTRY) AND OTHER TECHNOLOGICAL APPLICATIONS IN THE FOOD AND PHARMACEUTICAL INDUSTRIES FOR THE PRODUCTION OF ALGALIN FLOUR (ECO BREAD), POLYUNSATURATED FATTY ACIDS (OMEGA-3, OMEGA-6) PHYSIOLOGICALLY NECESSARY FOR HUMANS, BIOLOGICALLY ACTIVE SUBSTANCES (ASTAXANTHIN, PHYCOCYANIN), NEW-GENERATION ANTIBIOTICS, BIOFUELS AND OTHER HIGH ADDED VALUE BIOTECHNOLOGICAL PRODUCTS. THE PROBLEMS OF USING MICROALGAE FOR BIOREMEDIATION OF THE ENVIRONMENT, IN PARTICULAR, PURIFICATION OF GEOTHERMAL WATERS FROM PHENOLS BEFORE DISCHARGING INTO THE SEWAGE SYSTEM ARE CONSIDERED. METHODS. MICROALGAE ARE GROWN IN CLOSED AND OPEN TYPE PLANTS. VALUABLE ALGAE COMPONENTS CAN BE EXTRACTED USING SUPERCRITICAL FLUID TECHNOLOGY OF CONTINUOUS ACTION. RESULTS. WE GIVE A COMPARATIVE EVALUATION OF THE EFFICIENCY OF USING MICROALGAE AS A BIOLOGICAL RAW MATERIAL IN COMPARISON WITH TRADITIONALLY USED OILSEEDS. CONCLUSION. FOR DAGESTAN, LOCATED ON THE SHORE OF THE CASPIAN SEA, WITH ITS WARM CLIMATE AND AN ABUNDANCE OF SOLAR AND GEOTHERMAL ENERGY, THE DEVELOPMENT OF THIS TECHNOLOGY IS A TASK OF GREAT ECONOMIC IMPORTANCE. THE ADVANTAGES OF MICROALGAE TECHNOLOGIES ARE THE BASIS FOR THE CREATION OF LARGE-SCALE PRODUCTION OF MICROALGAE IN SOUTHERN RUSSIA. BIOTECHNOLOGY IN DAGESTAN CAN BECOME NOT ONLY PROFITABLE, BUT ALSO A HIGH-TECH AND INNOVATIVE INDUSTRY."
dagestan,MEDICAL AND SOCIAL ASPECTS OF INDUCED ABORTION IN THE REPUBLIC OF DAGESTAN,10.18470/1992-1098-2018-2-217-224,WOS000459109700020,"AIM. THE AIM OF THE RESEARCH IS TO CONSIDER THE MEDICAL AND SOCIAL ASPECTS OF ARTIFICIALLY TERMINATING PREGNANCY IN THE REPUBLIC OF DAGESTAN. MATERIAL AND METHODS. TO ACHIEVE THIS GOAL, WE HAVE CREATED A DATABASE OF THE CASES OF ARTIFICIAL ABORTION IN THE REPUBLIC OF DAGESTAN. STATISTICAL PROCESSING OF THE RESULTS OF THE STUDY WAS CARRIED OUT USING SOFTWARE PACKAGES LIKE STATISTICA AND EXCEL. RESULTS. THE TOTAL NUMBER OF ABORTIONS FOR THE STUDY PERIOD WAS 157526 CASES, OF WHICH 26\% OF CASES WERE SPONTANEOUS ABORTIONS, 8.9\% OF CASES WERE ABORTIONS FOR MEDICAL REASONS. DURING THE PERIOD UNDER REVIEW, THERE WAS AN INCREASE IN THE NUMBER OF SPONTANEOUS ABORTIONS AND ABORTIONS DUE TO MEDICAL INDICATIONS BY 170\% AND 108.6\%, RESPECTIVELY. THERE IS THE PREVALENCE OF ABORTIONS OF THE PREGNANCY OF UP TO 12 WEEK-PERIOD, INCLUDING MINI-ABORTIONS, THE AVERAGE PERCENTAGE OF THE TOTAL NUMBER OF ABORTIONS FOR THE STUDY PERIOD WAS 90\%. IN THE REPUBLIC OF DAGESTAN, THE AVERAGE ANNUAL INTENSIVE STANDARDIZED ABORTION RATE WAS 14.67 CASES PER 1,000 WOMEN OF CHILDBEARING AGE WOMEN OF CHILDBEARING AGE (WCA). AND AMONG THE URBAN POPULATION, THIS NUMBER IS HIGHER, AND AMOUNTED TO 25.57 \%O AGAINST 6.25 \%O IN RURAL AREAS. THE HIGHEST VALUES OF THE AVERAGE LONG-TERM INTENSIVE FREQUENCY OF ABORTIONS ARE OBSERVED IN THE CITIES OF KIZILYURT, DERBENT, MAKHACHKALA, KASPIISK; IN THE COUNTRYSIDES: DAKHADAYEVSKY, TARUMOVSKY, LAKSKY AND BABAURTOVSKY DISTRICTS. CONCLUSION. THE PROBLEM OF ABORTION, DESPITE THE STEADY TENDENCY TO REDUCE THEIR NUMBER, STILL NEEDS TO BE SOLVED BECAUSE IT IS THE LEADING CAUSE OF MATERNAL DEATH IN RUSSIA, INFLAMMATORY DISEASES OF THE GENITALS, INFERTILITY, AND IT ALSO ADVERSELY AFFECTS THE COURSE OF SUBSEQUENT PREGNANCIES AND BIRTHS, INCREASING THE FREQUENCY MISCARRIAGE, MATERNAL AND PERINATAL PATHOLOGY."
forms,MARRIAGE AND FORMS OF ITS CONCLUSION IN CITIES OF DAGESTAN: TRANSFORMATION OF TRADITIONS,NA,WOS000458091900012,"TRADITIONAL FORMS OF MARRIAGE AND WEDDING RITUALS OF THE PEOPLES OF DAGESTAN HAVE ALWAYS BEEN THE OBJECT OF ATTENTION AND STUDY OF ETHNOGRAPHERS. HOWEVER, IT WAS OFTEN STUDIED ONLY THE WEDDING AND RITUALS OF THE RURAL POPULATION, WHEN URBAN RITES AND FORMS OF MARRIAGE ARE POORLY DESCRIBED. IN ADDITION, THE SOCIO-ECONOMIC, POLITICAL, IDEOLOGICAL AND OTHER CHANGES THAT HAVE OCCURRED IN THE REGION IN RECENT TIMES HAVE MADE CERTAIN ADJUSTMENTS AND TRANSFORMATIONS IN FAMILY AND MARRIAGE RELATIONS. MODERN FORMS AND CONDITIONS OF MARRIAGE IN THE CITIES OF DAGESTAN DIFFER IN MANY RESPECTS FROM THE OLD ONES, AND SOME ARCHAIC FORMS DO NOT OCCUR TODAY AT ALL."
